富力十号	18500 元/平方米	余杭文一西路高教路的交叉口
滨江万家名城	16000 元/平方米	余杭东至锦江路，南至油车桥港，西至南二路，北至通运路
宋都香悦郡	15900 元/平方米	拱墅沈半路与桃源街交叉口桃源新区
招商九龙仓学院北麓	22000 元/平方米	拱墅莫干山路与留祥路交叉口
德信泊林春天	13500 元/平方米	萧山鸿宁路与104国道交叉口
大家多立方	15000 元/平方米	江干九华路（东城实验学校南面）
万科大家世纪之光	23000 元/平方米	萧山庆春隧道南振宁路与民和路交叉口（紧邻地铁2号线振宁路站）
地铁绿城杨柳郡	23000 元/平方米	江干建华路与备塘河交汇处东北面
东海水景城	11000 元/平方米	余杭临平世纪大道与西安路交叉口以东
理想康城一品	14000 元/平方米	余杭星河南路以东、世纪大道以北
阳光郡	17800 元/平方米	拱墅莫干山路与长青路（广业街）交界处
科尔世纪外滩	9300 元/平方米	萧山宁围镇顺坝围垦，东、南至国际水城公园，西至杭州景海湾
蓝钻天成	19000 元/平方米	拱墅莫干山路969号莫干山路与萍水街西南向交叉口
海南绿城蓝湾小镇	15000 元/平方米	海南 陵水县新村镇清水湾国际旅游度假区
越秀星汇城	6200 元/平方米	临安青山湖科技城大园路123号
华瑞晴庐	14450 元/平方米	萧山建设二路与育才路交叉口往东100米
武林壹号	69000 元/平方米	拱墅湖墅南路66号
九龙仓君廷	6900 元/平方米	余杭S304省道与康信路交汇处
西溪海小海	9200 元/平方米	余杭天目山西路北侧，闲富北路与上和路交叉口
华元欢乐城	9500 元/平方米	余杭临平新城迎宾路望梅路口西北角
中和北宸府	7000 元/平方米	余杭余杭区崇贤镇，西至尚德路，北至崇文街
九龙仓君玺	45000 元/平方米	下城东新路文晖路口
兴耀星悦湾	8500 元/平方米	萧山义蓬街道向阳路南
绿地旭辉城	36000 元/平方米	滨江七甲路和滨盛路交叉口
溪悦宸府	11500 元/平方米	余杭五常大道与高教路交汇处
万泰城章	9500 元/平方米	余杭新城世纪大道与望梅路交叉口西南方向500米
金地格林格林	9800 元/平方米	江干天都路天丰路交叉口
绿地华家池印	48000 元/平方米	江干环城北路东2800米（艮山西路与秋涛北路交叉口）
中大普升	19000 元/平方米	江干地铁一号线九和路站（北侧700米）
佳源名城	9000 元/平方米	余杭崇贤镇，南临洋湾路，东至崇超路，西临运河支流
复地黄龙和山	800 万元/套	西湖西湖区西溪路957号
理想银泰城	10900 元/平方米	余杭世纪大道与迎宾路交叉口
招商雍华府	21000 元/平方米	江干建华路与红五月路交界处，近地铁九和路站
滨江西溪之星	18000 元/平方米	余杭文二西路转荆长大道南
嘉里云荷廷	25000 元/平方米	之江之江路与江涵路交叉口
滨江东方海岸	14000 元/平方米	萧山时代大道与湘湖路交界
得力名望府	8800 元/平方米	萧山建设四路东端
欧美金融城（EFC）	13600 元/平方米	余杭文一西路和水城北路交汇处
绿城乌镇雅园	16000 元/平方米	[外环以外]乌镇镇白马墩村（原华庄生态园）
中旅?紫金名门	19000 元/平方米	西湖紫荆花路与振华路交叉口(杭师大附中对面)
嘉丰万悦城	5700 元/平方米	余杭东湖北路与湖潭路交汇处
赞成首府	8000 元/平方米	余杭世纪大道与望梅路交叉口西南侧
中港罗兰小镇	6500 元/平方米	余杭中泰街道中泰路与杭泰路口西面
融创河滨之城	210 万元/套	西湖花蒋路、余杭塘路向西到底，西溪银泰城西侧800米处
万科金辰之光	21000 元/平方米	萧山西兴路与滨康路交叉口西南约400米
中南白马湖壹号	15000 元/平方米	滨江西沿时代高架，南至祥瑛路，北至向南路，东靠白池河河道
众安朝阳8号	13000 元/平方米	萧山市心南路及规划南四路交叉口
世茂天宸	42000 元/平方米	江干艮山西路95号
首开国风美域	21500 元/平方米	西湖古墩路和振华路交叉口
阳光城上府	19500 元/平方米	萧山滨康路与风情大道交口南向100米
